"id","name","categorie"
1,Fisik,1
2,Intelektual,1
3,Mental,1
4,Disabilitas Netra,1
5,Disabilitas Rungu,1
6,Disabilitas Wicara,1
7,Anak dalam situasi darurat,3
8,Anak yang berhadapan dengan hukum,3
9,Anak dari kelompok minoritas dan terisolasi,3
10,Anak yang dieksploitasi secara ekonomi,3
11,Anak yang dieksploitasi secara seksual,3
12,Anak yang menjadi korban pornografi,3
13,Tuna Susila,4
14,Gelandangan,4
15,Pengemis,4
16,Pemulung,4
17,Kelompok Minoritas,4
18,Bekas Warga Binaan Lembaga Pemasyarakatan (BWBLP),4
19,Orang dengan HIV/AIDS (ODHA),5
20,Korban Penyalahgunaan NAPZA,5
21,Korban Bencana Alam,6
22,Korban Bencana Sosial,6